player,team,position,c/a,yds,td,int,car,yds,td,rec,yds,td,tar,2pc,fuml,td,fpts,avg
A.J. Green,Ari,WR,0/0,0,0,0,61,238,2,34,372,2,55,0,1,0,117.0,7.3
Tim Patrick,Den,WR,0/0,0,0,0,1,3,0,43,647,1,62,0,0,0,116.0,6.8
Rhamondre Stevenson,NE,RB,0/0,0,0,0,133,606,5,14,123,0,18,0,1,0,114.9,9.6
Deonte Harty,NO,WR,0/0,0,0,0,5,41,0,36,570,3,59,0,1,0,113.1,8.7
Nyheim Hines,Ind,RB,0/0,0,0,0,56,276,2,40,310,1,57,0,2,0,112.6,6.6
Kareem Hunt,Cle,RB,0/0,0,0,0,78,386,5,22,174,0,27,0,0,0,110.0,13.8
Jamison Crowder,Buf,WR,0/0,0,0,0,0,0,0,51,447,2,71,0,1,0,109.7,9.1
Donovan Peoples-Jones,Cle,WR,0/0,0,0,0,0,0,0,34,597,3,58,0,1,0,109.7,8.4
Rondale Moore,Ari,WR,0/0,0,0,0,18,76,0,54,435,1,65,0,1,0,109.1,7.8
Bryan Edwards,Atl,WR,0/0,0,0,0,1,0,0,34,571,3,59,0,0,0,109.1,6.4
Mark Ingram II,NO,RB,0/0,0,0,0,160,554,2,27,162,0,35,0,1,0,108.6,7.8
David Njoku,Cle,TE,0/0,0,0,0,1,1,0,36,475,4,53,0,0,0,107.6,7.2
Nick Westbrook-Ikhine,Ten,WR,0/0,0,0,0,0,0,0,38,476,4,57,0,1,0,107.6,7.2
Zay Jones,Jax,WR,0/0,0,0,0,2,3,0,47,546,1,70,0,1,0,105.9,7.1
Corey Davis,NYJ,WR,0/0,0,0,0,0,0,0,34,492,4,59,0,1,0,105.2,11.7
Zack Moss,Buf,RB,0/0,0,0,0,96,345,4,23,197,1,32,0,1,0,105.2,8.1
Rex Burkhead,Hou,RB,0/1,0,0,0,122,427,3,25,186,0,32,0,0,0,104.3,7.0
D'Ernest Johnson,Cle,RB,0/0,0,0,0,100,534,3,19,137,0,25,0,0,0,104.1,8.0
Latavius Murray,FA,RB,0/0,0,0,0,119,501,6,10,75,0,13,0,0,0,103.6,7.4
Rashod Bateman,Bal,WR,0/0,0,0,0,0,0,0,46,515,1,67,0,0,0,103.5,8.6
DeVante Parker,NE,WR,0/0,0,0,0,0,0,0,40,515,2,73,0,0,0,103.5,10.4
Nelson Agholor,NE,WR,0/0,0,0,0,3,11,0,37,473,3,64,0,0,0,103.4,7.4
Evan Engram,Jax,TE,0/0,0,0,0,1,-3,0,46,408,3,73,0,1,0,102.5,6.8
Kenyan Drake,LV,RB,0/0,0,0,0,63,254,2,30,291,1,40,0,0,0,102.5,8.5
Boston Scott,Phi,RB,0/0,0,0,0,87,373,7,13,83,0,16,0,1,0,98.6,8.2
Jalen Guyton,LAC,WR,0/0,0,0,0,7,34,0,31,448,3,48,0,0,0,97.2,6.1
Zach Pascal,Phi,WR,0/0,0,0,0,2,21,0,38,384,3,69,0,1,0,94.5,5.9
D'Onta Foreman,Car,RB,0/0,0,0,0,133,566,3,9,123,0,11,0,1,0,93.9,10.4
Randall Cobb,GB,WR,0/0,0,0,0,1,1,0,28,375,5,39,0,1,0,93.6,8.5
Joshua Palmer,LAC,WR,0/0,0,0,0,1,6,0,33,353,4,49,0,0,0,92.9,6.2
Austin Hooper,Ten,TE,0/0,0,0,0,0,0,0,38,345,3,61,0,0,0,92.5,5.8
Michael Gallup,Dal,WR,0/0,0,0,0,0,0,0,35,445,2,62,0,0,0,91.5,10.2
Trevor Siemian,Chi,QB,108/188,1154,11,3,9,20,1,0,0,0,0,0,1,0,90.16,15.0
Olamide Zaccheaus,Atl,WR,0/0,0,0,0,1,2,0,31,406,3,53,0,0,0,89.8,6.0
Ameer Abdullah,LV,RB,0/0,0,0,0,51,166,0,38,289,1,53,0,0,0,89.5,5.3
Kenny Golladay,NYG,WR,0/0,0,0,0,0,0,0,37,521,0,76,0,0,0,89.1,6.4
Tre'Quan Smith,NO,WR,0/0,0,0,0,0,0,0,32,377,3,50,0,0,0,87.7,8.0
Allen Robinson II,LAR,WR,0/0,0,0,0,0,0,0,38,410,1,66,0,0,0,87.0,7.3
Marquez Valdes-Scantling,KC,WR,0/0,0,0,0,0,0,0,26,430,3,55,0,0,0,87.0,7.9
DeAndre Carter,LAC,WR,0/0,0,0,0,10,89,0,24,296,3,44,0,0,1,86.5,5.1
Freddie Swain,Sea,WR,0/0,0,0,0,5,32,0,25,343,4,40,0,0,0,86.5,5.1
Rashaad Penny,Sea,RB,69/126,684,4,5,47,230,5,0,0,0,0,0,1,0,86.36,10.8
