player,team,position,c/a,yds,td,int,car,yds,td,rec,yds,td,tar,2pc,fuml,td,fpts,avg
Tony Brown,FA,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Devin Smith,FA,WR,0/0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
C.J. Prosise,FA,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Duke Williams,FA,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Josh Hammond,Jax,WR,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Jeff Cotton,Jax,WR,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Emanuel Hall,Wsh,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
D.J. Foster,FA,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Trey Quinn,Den,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Cade Johnson,Sea,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Allen Hurns,FA,WR,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Geronimo Allison,FA,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
LeVante Bellamy,FA,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Matt Cole,FA,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Marken Michel,Wsh,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Senorise Perry,FA,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Isaiah Hodgins,Buf,WR,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Elijah McGuire,KC,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Chris Rowland,FA,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Bryce Love,FA,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
DeAndre Washington,FA,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
John Hightower,Phi,WR,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Isaiah Wright,FA,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Jake Luton,Jax,QB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Virgil Green,FA,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Sean Culkin,FA,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Jared Pinkney,FA,TE,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Tommy Stevens,FA,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Isaac Nauta,FA,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Trey Burton,FA,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Jason Croom,FA,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Matt Bushman,KC,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Dylan Cantrell,Wsh,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Jordan Franks,KC,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Carson Meier,FA,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Alex Barnes,Ten,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Theo Riddick,LV,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Tony Brooks-James,FA,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Marcus Green,FA,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Mike Weber,FA,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Keelan Doss,FA,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Dontrelle Inman,FA,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Alexander Hollins,FA,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Mason Kinsey,Ten,WR,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Taywan Taylor,FA,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Jaleel Scott,FA,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Michael Bandy,LAC,WR,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Dillon Mitchell,FA,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Aaron Fuller,Sea,WR,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Damion Willis,FA,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Donte Moncrief,FA,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Anthony Johnson,FA,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Rodney Anderson,FA,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ryan Switzer,FA,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Alshon Jeffery,FA,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Austin Carr,FA,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Jalen Camp,Hou,WR,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
T.J. Yeldon,FA,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Spencer Schnell,FA,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Malcolm Perry,NE,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
River Cracraft,Mia,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Chad Beebe,FA,WR,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Bennie Fowler,FA,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Reggie Begelton,FA,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
John Ursua,Sea,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Golden Tate,FA,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Cullen Gillaspia,FA,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Elijah McGuire,KC,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Chris Rowland,FA,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Bryce Love,FA,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
DeAndre Washington,FA,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
John Hightower,Phi,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Isaiah Wright,FA,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Jake Luton,Jax,QB,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Virgil Green,FA,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Sean Culkin,FA,TE,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Jared Pinkney,FA,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Tommy Stevens,FA,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Isaac Nauta,FA,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Trey Burton,FA,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Jason Croom,FA,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Matt Bushman,KC,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Dylan Cantrell,Wsh,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Jordan Franks,KC,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Carson Meier,FA,TE,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Alex Barnes,Ten,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Theo Riddick,LV,RB,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Tony Brooks-James,FA,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Marcus Green,FA,WR,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Nate McCrary,Bal,RB,0/0,0,0,0,1,-1,0,0,0,0,0,0,0,0,-0.1,-0.1
Kurt Benkert,GB,QB,0/0,0,0,0,2,-1,0,0,0,0,0,0,0,0,-0.1,-0.1
Chase Daniel,LAC,QB,0/0,0,0,0,2,-2,0,0,0,0,0,0,0,0,-0.2,-0.2
Davis Webb,NYG,QB,0/0,0,0,0,2,-3,0,0,0,0,0,0,0,0,-0.3,-0.3
Alex Bachman,NYG,WR,0/0,0,0,0,1,-3,0,0,0,0,0,0,0,0,-0.3,-0.1
Logan Woodside,Ten,QB,0/0,0,0,0,6,-6,0,0,0,0,0,0,0,0,-0.6,-0.1
Jacob Eason,Sea,QB,2/5,25,0,1,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0
Feleipe Franks,Atl,QB,0/1,0,0,1,3,6,0,0,0,0,0,0,0,0,-1.4,-0.4
Trenton Cannon,Ten,RB,0/0,0,0,0,3,4,0,0,0,0,0,0,1,0,-1.6,-0.2
John Wolford,LAR,QB,1/4,5,0,1,2,-1,0,0,0,0,0,0,0,0,-1.9,-1.0
Travis Benjamin,FA,WR,0/0,0,0,0,0,0,0,0,0,0,5,0,1,0,-2.0,-0.3
J.J. Koski,LAR,WR,0/0,0,0,0,0,0,0,0,0,0,0,0,1,0,-2.0,-0.5
Josh Rosen,FA,QB,2/11,19,0,2,0,0,0,0,0,0,0,0,0,0,-3.24,-1.1
Diontae Spencer,FA,WR,0/0,0,0,0,0,0,0,1,-3,0,4,0,2,0,-3.3,-0.2
Breece Hall,NYJ,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Drake London,Atl,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Treylon Burks,Ten,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Chris Olave,NO,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Garrett Wilson,NYJ,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
James Cook,Buf,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ken Walker III,Sea,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Derrick Willies,FA,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Cody Thompson,Sea,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Wes Hills,FA,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ventell Bryant,FA,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Omar Bayless,KC,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Antonio Callaway,FA,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Evan Baylis,FA,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
John Metchie III,Hou,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Dameon Pierce,Hou,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Isaiah Spiller,LAC,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Tyler Allgeier,Atl,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Jalen Tolbert,Dal,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Malik Willis,Ten,QB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Desmond Ridder,Atl,QB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Rachaad White,TB,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Velus Jones Jr.,Chi,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Trey McBride,Ari,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Jelani Woods,Ind,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Brian Robinson Jr.,Wsh,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Zamir White,LV,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Matt Corral,Car,QB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Tyquan Thornton,NE,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Justyn Ross,KC,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Wan'Dale Robinson,NYG,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
David Bell,Cle,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Tyrion Davis-Price,SF,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Greg Dulcich,Den,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Hassan Haskins,Ten,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Danny Gray,SF,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Calvin Austin III,Pit,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Khalil Shakir,Buf,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Snoop Conner,Jax,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Romeo Doubs,GB,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Cade Otton,TB,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Pierre Strong Jr.,NE,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Keaontay Ingram,Ari,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Isaih Pacheco,KC,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Jeremy Ruckert,NYJ,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kyren Williams,LAR,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Sam Howell,Wsh,QB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Tyler Badie,Bal,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Jerome Ford,Cle,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ty Chandler,Min,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kyle Philips,Ten,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Brandon Smith,Dal,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Charlie Kolar,Bal,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Jake Ferguson,Dal,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Isaiah Likely,Bal,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Connor Heyward,Pit,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kevin Harris,NE,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Jameson Williams,Det,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Christian Watson,GB,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Skyy Moore,KC,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Jahan Dotson,Wsh,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
George Pickens,Pit,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Alec Pierce,Ind,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kenny Pickett,Pit,QB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
John Metchie III,Hou,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Dameon Pierce,Hou,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Isaiah Spiller,LAC,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Tyler Allgeier,Atl,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Montrell Washington,Den,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Cole Turner,Wsh,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ko Kieft,TB,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Michael Woods II,Cle,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Samori Toure,GB,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Zonovan Knight,NYJ,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Teagan Quitoriano,Hou,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Grant Calcaterra,Phi,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Skylar Thompson,Mia,QB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
John FitzPatrick,Atl,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Nick Muse,Min,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Chris Oladokun,Pit,QB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Andrew Ogletree,Ind,TE,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Zander Horvath,LAC,RB,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Dareke Young,Sea,WR,--/--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
